Pin Number,5V Tolerant,Pin Name,Func A,Func B,Func C,Func D,Func E
1,0,RG15,AN23,,,,
2,0,RA5,EBIA5,AN34,PMA5,,
3,0,RE5,EBID5,AN17,RPE5,PMD5,
4,0,RE6,EBID6,AN16,PMD6,,
5,0,RE7,EBID7,AN15,PMD7,,
6,0,RC1,EBIA6,AN22,RPC1,PMA6,
7,0,RJ8,AN35,ETXD0,,,
8,0,RJ9,AN36,ETXD1,,,
9,1,RJ12,EBIBS0,,,,
10,1,RJ10,EBIBS1,,,,
11,0,RC2,EBIA12,AN21,RPC2,PMA12,
12,0,RC3,EBIWE,AN20,RPC3,PMWR,
13,0,RC4,EBIOE,AN19,RPC4,PMRD,
14,0,RG6,AN14,C1IND,RPG6,SCK2,
15,0,RG7,AN13,C1INC,RPG7,SDA4,
16,0,RG8,AN12,C2IND,RPG8,SCL4,
17,0,VSS,,,,,
18,0,VDD,,,,,
19,1,RK0,EBIA16,,,,
20,1,MCLR,,,,,
21,0,RG9,EBIA2,AN11,C2INC,RPG9,PMA2
22,0,RA0,TMS,AN24,,,
23,0,RE8,AN25,RPE8,,,
24,0,RE9,AN26,RPE9,,,
25,0,RB5,AN45,C1INA,RPB5,,
26,0,RB4,AN4,C1INB,,,
27,0,RJ11,AN37,ERXCLK,EREFCLK,,
28,1,RJ13,EBIA13,PMA13,,,
29,1,RJ14,EBIA11,PMA11,,,
30,1,RJ15,EBIA0,PMA0,,,
31,0,RB3,AN3,C2INA,RPB3,,
32,0,VSS,,,,,
33,0,VDD,,,,,
34,0,RB2,AN2,C2INB,RPB2,,
35,0,RB1,PGEC1,AN1,RPB1,,
36,0,RB0,PGED1,AN0,RPB0,,
37,0,RB6,PGEC2,AN46,RPB6,,
38,0,RB7,PGED2,AN47,RPB7,,
39,0,RA9,VREF-,CVREF-,AN27,,
40,0,RA10,VREF+,CVREF+,AN28,,
41,0,AVDD,,,,,
42,0,AVSS,,,,,
43,0,RH0,AN38,ETXD2,,,
44,0,RH1,AN39,ETXD3,,,
45,1,RH2,EBIRP,,,,
46,1,RH3,,,,,
47,0,RB8,EBIA10,AN48,RPB8,PMA10,
48,0,RB9,EBIA7,AN49,RPB9,PMA7,
49,0,RB10,CVREFOUT,AN5,RPB10,,
50,0,RB11,AN6,,,,
51,1,RK1,EBIA1,PMA1,,,
52,1,RK2,EBIA3,PMA3,,,
53,1,RK3,EBIA17,,,,
54,0,VSS,,,,,
55,0,VDD,,,,,
56,0,RA1,TCK,AN29,,,
57,0,RF13,TDI,AN30,RPF13,SCK5,
58,0,RF12,TDO,AN31,RPF12,,
59,0,RB12,AN7,,,,
60,0,RB13,AN8,,,,
61,0,RB14,AN9,RPB14,SCK3,,
62,0,RB15,AN10,RPB15,OCFB,,
63,0,VSS,,,,,
64,0,VDD,,,,,
65,0,RH4,AN40,ERXERR,,,
66,0,RH5,AN41,ERXD1,,,
67,0,RH6,AN42,ERXD2,,,
68,1,RH7,EBIA4,PMA4,,,
69,0,RD14,AN32,RPD14,,,
70,0,RD15,AN33,RPD15,SCK6,,
71,0,RC12,OSC1,CLKI,,,
72,0,RC15,OSC2,CLKO,,,
73,1,VBUS,,,,,
74,0,VUSB3V3,,,,,
75,0,VSS,,,,,
76,0,D-,,,,,
77,0,D+,,,,,
78,0,RF3,RPF3,USBID,,,
79,1,RF2,SDA3,RPF2,,,
80,1,RF8,SCL3,RPF8,,,
81,1,RH8,ERXD0,,,,
82,1,RH9,ERXD3,,,,
83,1,RH10,ECOL,,,,
84,1,RH11,EBIRDY2,,,,
85,1,RA2,SCL2,,,,
86,1,RA3,EBIRDY1,SDA2,,,
87,1,RA4,EBIA14,PMCS1,PMA14,,
88,0,VDD,,,,,
89,0,VSS,,,,,
90,1,RF4,EBIA9,RPF4,SDA5,PMA9,
91,1,RF5,EBIA8,RPF5,SCL5,PMA8,
92,1,RK4,EBIA18,,,,
93,1,RK5,EBIA19,,,,
94,1,RK6,EBIA20,,,,
95,1,RA14,RPA14,SCL1,,,
96,1,RA15,RPA15,SDA1,,,
97,1,RD9,EBIA15,RPD9,PMCS2,PMA15,
98,1,RD10,RPD10,SCK4,,,
99,1,RD11,EMDC,RPD11,,,
100,1,RH12,ECRS,,,,
101,1,RH13,ERXDV,ECRSDV,,,
102,1,RH14,,,,,
103,1,RH15,EBIA23,,,,
104,1,RD0,RPD0,RTCC,INT0,,
105,0,RC13,SOSCI,RPC13,,,
106,0,RC14,SOSCO,RPC14,T1CK,,
107,0,VDD,,,,,
108,0,VSS,,,,,
109,1,RD1,RPD1,SCK1,,,
110,1,RD2,EBID14,RPD2,PMD14,,
111,1,RD3,EBID15,RPD3,PMD15,,
112,1,RD12,EBID12,RPD12,PMD12,,
113,1,RD13,EBID13,PMD13,,,
114,1,RJ0,ETXERR,,,,
115,1,RJ1,EMDIO,,,,
116,1,RJ2,EBIRDY3,,,,
117,1,RJ3,EBIA22,,,,
118,1,RD4,SQICS0,RPD4,,,
119,1,RD5,SQICS1,RPD5,,,
120,1,RD6,ETXEN,RPD6,,,
121,1,RD7,ETXCLK,RPD7,,,
122,0,VDD,,,,,
123,0,VSS,,,,,
124,1,RF0,EBID11,RPF0,PMD11,,
125,1,RF1,EBID10,RPF1,PMD10,,
126,1,RK7,EBIA21,,,,
127,1,RG1,EBID9,RPG1,PMD9,,
128,1,RG0,EBID8,RPG0,PMD8,,
129,1,RA6,TRCLK,SQICLK,,,
130,1,RA7,TRD3,SQID3,,,
131,1,RJ4,EBICS0,,,,
132,1,RJ5,EBICS1,,,,
133,1,RJ6,EBICS2,,,,
134,1,RJ7,EBICS3,,,,
135,1,RE0,EBID0,PMD0,,,
136,0,VSS,,,,,
137,0,VDD,,,,,
138,1,RE1,EBID1,PMD1,,,
139,1,RG14,TRD2,SQID2,,,
140,1,RG12,TRD1,SQID1,,,
141,1,RG13,TRD0,SQID0,,,
142,1,RE2,EBID2,PMD2,,,
143,1,RE3,EBID3,RPE3,PMD3,,
144,0,RE4,EBID4,AN18,PMD4,,
